config,mom_lookback,mom_lookback_short,swing_lookback,swing_lookback_short,sniper_resid_z,bg_resid_z,sniper_tp_atr,bg_tp_atr,sniper_risk_pct,bg_risk_pct,use_sweep_stop,bg_persist,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,train,train_dd,oos,oos_dd,oos_sharpe,y2020,y2021,y2022,y2023,y2024,y2025,score
ml8_ms4_sl18_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.5_p2,8,4,18,24,1.25,0.75,4.0,2.5,1.5,1.0,True,2,13.54,4.76,0.443,36.84,1.32,1.543,95,5,8.91,4.76,4.25,2.47,0.63,-2.031510049533658,2.0353753621505932,2.8448508257896243,5.940254839021852,2.305813920432631,1.89996484398125,14.2265
ml8_ms4_sl18_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.0_p2,8,4,18,24,1.25,0.75,4.0,2.5,1.0,1.0,True,2,9.87,4.16,0.396,36.84,1.32,1.437,95,5,6.8,4.16,2.87,2.17,0.542,-1.1191198894088372,1.3708226415444225,1.091978626592205,5.401543045377588,1.7754203618028486,1.0725382576005416,13.955750000000002
ml8_ms4_sl18_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.5_p2,8,4,18,24,1.25,0.75,3.0,2.5,1.5,1.0,True,2,11.29,4.76,0.416,37.89,1.32,1.468,95,6,8.09,4.76,2.96,2.47,0.483,0.07913171945870268,1.2923673396247892,1.2780894939941723,5.277823149516281,1.9048207654370097,1.0399998773711783,13.922749999999999
ml8_ms4_sl18_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,8,4,18,24,1.25,0.75,3.0,2.5,1.0,1.0,True,2,8.39,4.16,0.366,37.89,1.32,1.381,95,6,6.25,4.16,2.02,2.17,0.401,0.29666371498049404,0.8739458937619515,0.056161797686460346,4.958490421656303,1.5080915918057602,0.5002257699922241,13.677249999999999
ml8_ms4_sl18_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.5_p2,8,4,18,24,1.0,0.5,4.0,2.5,1.5,1.0,True,2,10.8,5.13,0.327,32.52,1.71,1.317,123,5,8.09,5.13,2.5,2.72,0.348,-1.6840142552270065,1.6586040927367263,3.030858099246969,4.966026857287775,1.6779293073894586,0.8118853047446084,13.619
ml8_ms4_sl18_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.5_p2,8,4,18,24,1.25,0.5,4.0,2.5,1.5,1.0,True,2,9.28,5.37,0.302,32.79,1.69,1.283,122,5,6.61,5.37,2.5,2.72,0.348,-1.6840142552270065,1.4022776708228601,1.8801713294649192,4.966026857287753,1.6779293073894364,0.8118853047445862,13.556
ml8_ms4_sl18_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.5_p2,8,4,18,24,1.0,0.5,3.0,2.5,1.5,1.0,True,2,7.72,5.6,0.269,33.33,1.71,1.233,123,5,6.41,5.6,1.24,2.72,0.19,0.4341139937384275,0.48989937337418077,1.0731479438528035,4.309686898341858,1.279397179996411,-0.04088825631594073,13.247
ml8_ms4_sl18_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.5_p2,8,4,18,24,1.25,0.5,3.0,2.5,1.5,1.0,True,2,7.11,5.44,0.259,33.61,1.69,1.222,122,5,5.8,5.44,1.24,2.72,0.19,0.4341139937384275,0.663879781420218,0.32810613967644287,4.30968689834188,1.2793971799963666,-0.040888256315874116,13.22175
ml8_ms4_sl18_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.0_p2,8,4,18,24,1.0,0.5,4.0,2.5,1.0,1.0,True,2,6.4,4.77,0.243,32.52,1.71,1.206,123,4,5.2,4.77,1.14,2.42,0.196,-0.7671135440936006,0.7530783580171896,0.7587650873420504,4.432269064407945,1.150790949432623,-0.009346770672280513,13.197000000000001
ml8_ms4_sl18_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.0_p2,8,4,18,24,1.25,0.5,4.0,2.5,1.0,1.0,True,2,5.74,4.78,0.228,32.79,1.69,1.189,122,4,4.55,4.78,1.14,2.42,0.196,-0.7671135440936006,0.7418482926524028,0.14374098279263947,4.432269064407923,1.150790949432623,-0.009346770672358229,13.1655
